source_file,종목명,종목코드,권장호라이즌,last_close,매수가(entry),익절가(tp),손절가(sl),RR,Score_1w,ord_qty,side,confidence,holding_days,valid_until,ATR,buf_close,buf_high,buf_low,요약점수(h1),요약점수(h2),요약점수(h3),ex_base_h1,ex_pen_h1,ex_base_h2,ex_pen_h2,ex_base_h3,ex_pen_h3,flags_h1,flags_h2,flags_h3,warn_bad_RR,h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count,h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count,risk_cap_used,Score_1w_num,RR_num,conf_num
pred_HD현대인프라코어_042670.csv,HD현대인프라코어,042670,h2,17020.0,16880.0,18000.0,16480.0,2.8,200.0,11,BUY,0.452,2,2025-12-17T15:20:00+09:00,556.666,546.704,655.741,547.71,1.1,0.85,1.95,0.15,0.95,0.35,0.5,1.0,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,3.654819477749713,59.523809523809526,256.5558615752629,546.703567561649,42.0,0.1,200.0,2.8,0.452
pred_한일시멘트_300720.csv,한일시멘트,300720,h2,20150.0,20050.0,20790.0,19790.0,2.85,175.0,9,BUY,0.557,2,2025-12-17T15:20:00+09:00,601.667,361.0,361.0,367.196,1.8,0.0,1.6,0.85,0.95,0.0,0.0,0.65,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,1.8212057166265323,66.66666666666666,-160.20080591951097,336.9873353129338,42.0,0.1,175.0,2.85,0.557
pred_TKG휴켐스_069260.csv,TKG휴켐스,069260,h2,19850.0,19770.0,20390.0,19550.0,2.82,175.0,10,BUY,0.465,2,2025-12-17T15:20:00+09:00,444.167,304.607,298.572,328.951,1.95,0.6,1.05,1.0,0.95,0.15,0.45,0.35,0.7,MAPE>MAX;DA<MIN;|Bias|>r*MAE,DA<MIN;|Bias|>r*MAE,MAPE>MAX;|Bias|>r*MAE,0,,,,,,1.679773754631897,54.761904761904766,205.28208054247372,304.6071617660068,42.0,0.1,175.0,2.82,0.465
pred_DL이앤씨_375500.csv,DL이앤씨,375500,h2,43050.0,42770.0,45040.0,41950.0,2.77,165.0,4,BUY,0.461,2,2025-12-17T15:20:00+09:00,1516.668,1108.583,1203.355,1372.843,1.95,1.1,1.3,1.0,0.95,0.15,0.95,0.35,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,2.666761157519753,52.38095238095239,-580.5289440211789,1108.5829084827783,42.0,0.1,165.0,2.77,0.461
pred_동서_026960.csv,동서,026960,h2,28350.0,28210.0,29340.0,27800.0,2.76,165.0,7,BUY,0.69,2,2025-12-17T15:20:00+09:00,924.999,555.0,683.264,710.178,1.1,0.0,1.8,0.65,0.45,0.0,0.0,0.85,0.95,DA<MIN;|Bias|>r*MAE,,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,1.3360841322573476,78.57142857142857,36.524667697293246,370.4896718973219,42.0,0.1,165.0,2.76,0.69
pred_오리온홀딩스_001800.csv,오리온홀딩스,001800,h1,21250.0,21150.0,21910.0,20890.0,2.92,155.0,9,BUY,0.626,1,2025-12-16T15:20:00+09:00,615.417,369.25,822.996,665.626,0.4,1.4,0.9,0.15,0.25,0.7,0.7,0.65,0.25,DA<MIN,MAPE>MAX;|Bias|>r*MAE,DA<MIN,0,1.4776085538381782,53.65853658536586,18.817297007356636,293.3522252951342,42.0,,,,,,0.1,155.0,2.92,0.626
pred_포스코DX_022100.csv,포스코DX,022100,h1,28950.0,28740.0,30440.0,28130.0,2.79,150.0,6,BUY,0.451,1,2025-12-16T15:20:00+09:00,1383.334,830.0,936.843,830.0,1.15,1.3,1.5,0.2,0.95,0.55,0.75,0.75,0.75,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN,0,2.848726927008028,48.78048780487805,-382.4493760154364,760.4865352312723,42.0,,,,,,0.1,150.0,2.79,0.451
pred_대웅제약_069620.csv,대웅제약,069620,h2,182700.01,181450.0,191690.0,177710.0,2.74,150.0,1,BUY,0.495,2,2025-12-17T15:20:00+09:00,7799.999,4999.079,4679.999,4709.719,1.525,0.75,1.875,0.575,0.95,0.0,0.75,0.925,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,3.085235269210114,52.38095238095239,-1890.9389434825775,4999.07937858786,42.0,0.1,150.0,2.74,0.495
pred_한진칼_180640.csv,한진칼,180640,h1,119999.99,118930.0,127680.0,115730.0,2.73,150.0,1,BUY,0.565,1,2025-12-16T15:20:00+09:00,7116.669,4270.001,4270.001,4270.001,0.65,0.85,1.75,0.15,0.5,0.35,0.5,1.0,0.75,MAPE>MAX,MAPE>MAX,MAPE>MAX;DA<MIN,0,2.950334227848879,58.53658536585365,-229.03453920568947,3190.9194746187763,42.0,,,,,,0.1,150.0,2.73,0.565
pred_제일기획_030000.csv,제일기획,030000,h2,23000.0,22940.0,23400.0,22780.0,2.88,145.0,8,BUY,0.693,2,2025-12-17T15:20:00+09:00,370.833,225.564,1552.301,232.004,1.45,0.0,1.95,0.5,0.95,0.0,0.0,1.0,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,1.0418847731497136,73.80952380952381,-21.102820904482325,225.5642563814212,42.0,0.1,145.0,2.88,0.693
